2026-03-04 17:25:04,442 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 17:25:06,990 | INPUT | INFO | Fill input "Estimated time" to value "1 weeks"
2026-03-04 17:25:07,021 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 17:25:07,021 | INPUT | INFO | Checking that input "Estimated time" has a value "1 weeks"
2026-03-04 17:25:07,031 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright 2.0"
2026-03-04 17:25:07,031 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:25:07,063 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright 2.0"
2026-03-04 17:25:07,063 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:25:07,081 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:25:07,081 | INPUT | INFO | Fill input "Max score" to value "150"
2026-03-04 17:25:07,106 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:25:07,106 | INPUT | INFO | Checking that input "Max score" has a value "150"
2026-03-04 17:25:07,122 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:25:07,122 | INPUT | INFO | Fill input "Min score" to value "15"
2026-03-04 17:25:07,154 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:25:07,154 | INPUT | INFO | Checking that input "Min score" has a value "15"
2026-03-04 17:25:07,169 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 17:25:07,169 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 17:25:07,247 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 17:25:07,248 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 17:25:07,261 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:25:07,261 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:25:07,271 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:25:07,271 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright 2.0"
2026-03-04 17:25:07,278 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:25:07,279 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-04 17:25:07,287 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:25:07,287 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 150"
2026-03-04 17:25:07,295 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 17:25:07,295 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-04 17:25:07,302 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 17:25:07,303 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 15"
2026-03-04 17:25:07,310 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 17:25:07,310 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-04 17:25:07,319 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 17:25:07,319 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 1 weeks"
